image,id,choice,class_0,class_1,class_2,class_3,class_4,class_5,class_6,class_7,class_8,class_9,class_10,class_11,class_12,class_13,city,height,width,r_mean,g_mean,b_mean,r_std,g_std,b_std,md5,label
10.jpg,10,trunk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Астрахань,774,1032,0.6493057052959597,0.5924194337711444,0.5658334226866237,0.32625965746451085,0.3539980904127094,0.3568525462136826,17aa8869ea254f83dca0c6b7c4785854,
11.jpg,11,back,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,774,1032,0.5901850074605091,0.5259922830178081,0.4848779620615747,0.2840817403893401,0.3158951581850796,0.3140455947424141,c30b5431ef00674aeb81287e73e0f33f,
12.jpg,12,"{""choices"": [""f_right"", ""labeled""]}",0,0,0,0,0,1,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.5418187243649338,0.4942598317094598,0.4766176922264209,0.2024795146867637,0.2204217667588087,0.2321772352258564,cd15b1bf21f36d2abfc7738531d5dd7c,
13.jpg,13,"{""choices"": [""f_left"", ""labeled""]}",0,0,0,0,1,0,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.7026947332224955,0.6566592405245254,0.5921396057772109,0.2693136676160473,0.2954715105681904,0.3177572337294885,0641b0134252715d8303a580905864f0,
14.jpg,14,"{""choices"": [""left"", ""labeled""]}",0,0,1,0,0,0,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.5194818206312228,0.4721253475450232,0.4498542755844,0.33854242548684665,0.3626317998760983,0.353620376700418,caab3c8d56948fb1fd4d81fb99d21482,
15.jpg,15,"{""choices"": [""right"", ""labeled""]}",0,0,0,1,0,0,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.4601417997441551,0.42639114726875454,0.4315638043371106,0.22070958810611527,0.23042396204520604,0.23524229922927065,6c70f10abcf5e5937975f12d3ac46589,
16.jpg,16,"{""choices"": [""b_right"", ""labeled""]}",0,0,0,0,0,0,0,1,0,0,0,0,1,0,Астрахань,774,1032,0.4640832912096392,0.4043040792624564,0.3933048757832162,0.2371846489293301,0.2473065408067152,0.2623757785635924,d2e8adc9602e79f567157e97e3e13456,
17.jpg,17,"{""choices"": [""b_left"", ""labeled""]}",0,0,0,0,0,0,1,0,0,0,0,0,1,0,Астрахань,774,1032,0.5993824656637888,0.5394795534142185,0.5384495161764801,0.3025555504644708,0.32839965435522106,0.3254626293210942,f477c9e2c21991b7f9783a4d19020bd0,
18.jpg,18,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,774,1032,0.6110490694885813,0.5956245068385705,0.5826624865037257,0.3015586350450137,0.3135420537884357,0.3190414216831564,43d22f32e4f4db3764d5c9e0a4ab0d9c,
19.jpg,19,front,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,492,1040,0.5593538853940576,0.5572953224441747,0.5368716354584361,0.1990290873464757,0.2054941833657785,0.21524990964071788,a129b625213f815c13646bdb10eba34b,
20.jpg,20,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,520,1040,0.6813626798352478,0.6559836262907529,0.6301019114746488,0.21623926009812167,0.2297042338840069,0.2450806018030032,68241820cf2b26b800a7996db25e8be5,"[{""x"": 42.13333333333333, ""y"": 34.93333333333333, ""width"": 10.4, ""height"": 12.533333333333333, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1040, ""original_height"": 520}]"
21.jpg,21,trunk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Астрахань,1040,492,0.6947257477099656,0.630346969306797,0.5996675618339894,0.22676672221657626,0.241646918717242,0.24321650766617656,69681183bb9fc6102be8cc2c574ff8a0,
22.jpg,22,"{""choices"": [""back"", ""labeled""]}",0,1,0,0,0,0,0,0,0,0,0,0,1,0,Астрахань,492,1040,0.5034453978589561,0.4511818354608887,0.438787147911072,0.2780594420854613,0.2856718948290957,0.2587968708204497,dac099e3a1e0a943bb00b875def7c2bc,
23.jpg,23,"{""choices"": [""f_right"", ""labeled""]}",0,0,0,0,0,1,0,0,0,0,0,0,1,0,Астрахань,492,1040,0.5085048559761615,0.4902363762891024,0.452005366405474,0.1911664726517739,0.19790495122478186,0.20949463742525176,590b465afdf52e38441b42ebb91c9583,
24.jpg,24,"{""choices"": [""f_left"", ""labeled""]}",0,0,0,0,1,0,0,0,0,0,0,0,1,0,Астрахань,492,1040,0.5325516790518583,0.5190784834884548,0.4973513930275047,0.19499850497882634,0.21418633937321666,0.2272861879865765,6ff90456cd28c5797786d87d60820e55,
25.jpg,25,"{""choices"": [""left"", ""labeled""]}",0,0,1,0,0,0,0,0,0,0,0,0,1,0,Астрахань,492,1040,0.4778618223399429,0.4494453104881727,0.4400287480533177,0.2217569580078323,0.22512850380653684,0.23839849976756405,25c47c750251f2580c850cb6037d295b,
26.jpg,26,"{""choices"": [""right"", ""labeled"", ""damaged""]}",0,0,0,1,0,0,0,0,0,0,0,0,1,1,Астрахань,492,1040,0.4601207479552171,0.4490821086095476,0.42852251407129455,0.2393362572018407,0.22512221918107744,0.22017911539081889,0c48e3fe759703261df2b72ebb06c1be,"[{""x"": 12.266666666666667, ""y"": 36.056338028169016, ""width"": 9.600000000000003, ""height"": 18.591549295774648, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1040, ""original_height"": 492}, {""x"": 41.46666666666667, ""y"": 50.140845070422536, ""width"": 2.6666666666666665, ""height"": 3.380281690140845, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1040, ""original_height"": 492}]"
27.jpg,27,"{""choices"": [""b_right"", ""labeled"", ""damaged""]}",0,0,0,0,0,0,0,1,0,0,0,0,1,1,Астрахань,492,1040,0.4338096113992814,0.3978809212865884,0.4065062799666459,0.24672862004362964,0.256975112805717,0.26418092989211434,e22fa26b899ec87352730c50fc60378c,"[{""x"": 57.86666666666667, ""y"": 44.507042253521114, ""width"": 1.6, ""height"": 2.816901408450713, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1040, ""original_height"": 492}, {""x"": 33.333333333333336, ""y"": 23.661971830985916, ""width"": 12.266666666666667, ""height"": 29.014084507042252, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1040, ""original_height"": 492}]"
28.jpg,28,"{""choices"": [""b_left"", ""labeled"", ""damaged""]}",0,0,0,0,0,0,1,0,0,0,0,0,1,1,Астрахань,492,1040,0.5985451691620991,0.52790755404726,0.5416003721688799,0.2767551066926912,0.3076703773768604,0.32150247556488737,e57bd767429c48f12eca40bd816389cd,"[{""x"": 61.333333333333336, ""y"": 20.281690140845075, ""width"": 2.400000000000001, ""height"": 5.3521126760563345, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1040, ""original_height"": 492}]"
29.jpg,29,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,520,1040,0.5725482509571878,0.48374261080171704,0.4050917884905441,0.2477151298059646,0.2685750816155003,0.2788295901381606,ec89ddbc7316e2600bc453e4d9241c62,
30.jpg,30,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,581,1032,0.4471239331634401,0.4504158056236411,0.4590799259836557,0.1977513104682964,0.19516660367885005,0.19355176704909305,d6086d647060da05c212ec0d7ad70040,"[{""x"": 38, ""y"": 25.592417061611375, ""width"": 20.666666666666668, ""height"": 21.09004739336493, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1032, ""original_height"": 581}]"
31.jpg,31,front,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,588,1280,0.5071627974106311,0.5134550330548887,0.5156041479091636,0.25381308440988576,0.2565700039194235,0.26533410943966146,f913ed9e96852e8979c280b789970dd1,
32.jpg,32,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,588,1280,0.4340995304371748,0.43864132111177817,0.42307847618213945,0.2355310819219885,0.2499884474317971,0.257304714008038,3c0b62af11a7864b53f36acc291f7347,"[{""x"": 46.13333333333333, ""y"": 29.27536231884058, ""width"": 9.066666666666666, ""height"": 12.173913043478262, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 588}]"
33.jpg,33,"{""choices"": [""trunk"", ""dirty""]}",0,0,0,0,0,0,0,0,0,1,0,1,0,0,Астрахань,588,1280,0.4469679642690408,0.4806724460617581,0.5125903017456984,0.26428813667882906,0.2984264757687941,0.3245561697924136,d6ddcd01897f89b2c5f191dd7f216729,
34.jpg,34,"{""choices"": [""back"", ""labeled""]}",0,1,0,0,0,0,0,0,0,0,0,0,1,0,Астрахань,588,1280,0.4776529413848873,0.4866849760737625,0.5060616903011205,0.22527918378294404,0.22988184935481745,0.2306181978286355,fb1c37d3d3a7b27453d410dc2f8a35a6,
35.jpg,35,"{""choices"": [""f_right"", ""labeled""]}",0,0,0,0,0,1,0,0,0,0,0,0,1,1,Астрахань,588,1280,0.4775386456665998,0.4774643503234628,0.4779597411881419,0.21305301168578186,0.2111265955290792,0.21691430171728512,352f49631d88dbe7d99cb558bde0c556,"[{""x"": 15.00985939643347, ""y"": 16.541047891692017, ""width"": 1.9825960219478742, ""height"": 12.114570286873027, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}]"
36.jpg,36,"{""choices"": [""f_left"", ""labeled""]}",0,0,0,0,1,0,0,0,0,0,0,0,1,0,Астрахань,588,1280,0.4601058965252766,0.4665813200280114,0.4727922054238363,0.20692993253058128,0.20410434499087127,0.20721593380429967,651486648509a5252b581bc78ec1dd70,
37.jpg,37,"{""choices"": [""left"", ""labeled""]}",0,0,1,0,0,0,0,0,0,0,0,0,1,0,Астрахань,588,1280,0.4467696974623183,0.4558141850490196,0.4716719239779245,0.22453062992182213,0.2258184063083283,0.2307293870822548,145af571dac8082b45637419fe769ea8,
38.jpg,38,"{""choices"": [""right"", ""labeled"", ""damaged""]}",0,0,0,1,0,0,0,0,0,0,0,0,1,1,Астрахань,588,1280,0.4486886994381087,0.4540913188191945,0.4654255921118447,0.2177326291182302,0.20980535712020454,0.2118211943135984,e192f42c540568a4ba76c16550d887ea,"[{""x"": 13.466666666666667, ""y"": 24.92753623188406, ""width"": 8.400000000000002, ""height"": 13.333333333333334, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}, {""x"": 38.93333333333333, ""y"": 38.55072463768116, ""width"": 2.4, ""height"": 2.608695652173913, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}]"
39.jpg,39,"{""choices"": [""b_right"", """", ""labeled"", ""damaged""]}",0,0,0,0,0,0,0,1,0,0,0,0,1,1,Астрахань,588,1280,0.4491355656846073,0.4567613816359876,0.4852920751633988,0.21615270136239406,0.21768662685309886,0.222971284665617,b04b798c72914117a6e03513d96eaf0b,"[{""x"": 30, ""y"": 26.956521739130434, ""width"": 5.066666666666666, ""height"": 6.66666666666667, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}]"
40.jpg,40,"{""choices"": [""b_left"", ""labeled""]}",0,0,0,0,0,0,1,0,0,0,0,0,1,0,Астрахань,588,1280,0.4573853395524876,0.4758749489379086,0.5172680530545554,0.22957218324880985,0.234341469892749,0.2419420070111349,39b4d675c858e6f8f30f04d0584f8bc5,
41.jpg,41,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,588,1280,0.4535206478424705,0.456290948671135,0.4478468991763372,0.24143154146487594,0.2543718645518695,0.2572213479605035,c81f960981a08eb7d5fb4c8fbe4836aa,"[{""x"": 65.2, ""y"": 57.68115942028985, ""width"": 34.79999999999999, ""height"": 41.44927536231885, ""rotation"": 0, ""rectanglelabels"": [""dirt""], ""original_width"": 1280, ""original_height"": 588}, {""x"": 47.46666666666667, ""y"": 60.57971014492754, ""width"": 6.266666666666667, ""height"": 14.202898550724637, ""rotation"": 0, ""rectanglelabels"": [""dirt""], ""original_width"": 1280, ""original_height"": 588}]"
42.jpg,42,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,960,1280,0.5222895986519606,0.4889399031096813,0.4469865451388891,0.3274685436487788,0.3407580653230751,0.3516791242115129,32466094dbd8488c9115935b86708c61,"[{""x"": 54.13333333333333, ""y"": 52.57548845470693, ""width"": 40, ""height"": 47.42451154529307, ""rotation"": 0, ""rectanglelabels"": [""dirt""], ""original_width"": 1280, ""original_height"": 960}]"
43.jpg,43,"{""choices"": [""b_right"", ""labeled""]}",0,0,0,0,0,0,0,1,0,0,0,0,1,1,Астрахань,774,1032,0.3949804021722864,0.4010330271362996,0.4301538045059981,0.2751900626351093,0.2732269460679258,0.2915014571704703,01fd6c1aec61222f8661ce4a477fb1ff,"[{""x"": 55.208333333333336, ""y"": 29.313655351621605, ""width"": 2.636316872427983, ""height"": 4.19722934894634, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1032, ""original_height"": 774}, {""x"": 52.95781893004115, ""y"": 30.769836962480536, ""width"": 1.4146090534979445, ""height"": 0.9422351599675475, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1032, ""original_height"": 774}, {""x"": 50.514403292181065, ""y"": 33.76785792601364, ""width"": 1.2860082304526714, ""height"": 1.1135506435980078, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1032, ""original_height"": 774}]"
44.jpg,44,interior,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Астрахань,774,1032,0.539683578397006,0.5365219742324749,0.5361161286420303,0.2984529444350385,0.30345579014686497,0.30163322324737624,b52da451a6989747a73f502722ac75fb,"[{""x"": 52.93333333333333, ""y"": 69.9822380106572, ""width"": 33.33333333333333, ""height"": 29.484902309058615, ""rotation"": 0, ""rectanglelabels"": [""dirt""], ""original_width"": 1032, ""original_height"": 774}, {""x"": 20.133333333333333, ""y"": 58.792184724689164, ""width"": 4.4, ""height"": 5.86145648312611, ""rotation"": 0, ""rectanglelabels"": [""rubbish""], ""original_width"": 1032, ""original_height"": 774}]"
45.jpg,45,front,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,1280,588,0.4335815003084568,0.4699222657813128,0.4933334583833534,0.3084345322888057,0.26760717013082463,0.2419704973841075,db202470bfb7f611999300e180fffbe2,
46.jpg,46,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,588,1280,0.4040132563442041,0.4390231352957848,0.4585335644674535,0.14758510864442415,0.14576153978655876,0.14277043013721466,ec301cebcabf445a2ade2b84d2015c8f,"[{""x"": 43.46666666666667, ""y"": 13.91304347826087, ""width"": 17.333333333333332, ""height"": 21.44927536231884, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 588}]"
47.jpg,47,trunk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Астрахань,588,1280,0.3917512577947845,0.4430354381335869,0.4921521421068426,0.21869389905907,0.2531209548533689,0.28988273384039825,b211090c2fc4b9b9763c5aeefd97efd5,
48.jpg,48,"{""choices"": [""back"", ""labeled""]}",0,1,0,0,0,0,0,0,0,0,0,0,1,0,Астрахань,1280,588,0.4958192860477526,0.5196370579481793,0.5468560705532213,0.27000048989771963,0.2582112533044517,0.2362440084344948,8479cba1d8cc300f9bd4c048c148d7b0,
49.jpg,49,"{""choices"": [""f_right"", ""labeled""]}",0,0,0,0,0,1,0,0,0,0,0,0,1,1,Астрахань,588,1280,0.3700891450330132,0.41366760766806737,0.4477616411147793,0.229131164840936,0.20795754433114547,0.20392929596888795,ca2015d6a7b84740d94e4530024a6e9a,"[{""x"": 22.67232510288066, ""y"": 22.252974592950437, ""width"": 2.0576131687242802, ""height"": 5.73112363571301, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}, {""x"": 31.867283950617285, ""y"": 34.83348989085704, ""width"": 1.0288065843621401, ""height"": 1.537618536410805, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}]"
50.jpg,50,"{""choices"": [""f_left"", ""labeled""]}",0,0,0,0,1,0,0,0,0,0,0,0,1,0,Астрахань,588,1280,0.4499287006469256,0.4465277204631855,0.4378484935640922,0.2618510120442337,0.24150716470102665,0.22829296920478045,be342e4922f435c62c6d2030d977761c,
51.jpg,51,"{""choices"": [""left"", ""labeled""]}",0,0,1,0,0,0,0,0,0,0,0,0,1,0,Астрахань,588,1280,0.3979471059257037,0.4075582264155662,0.4098457716419899,0.2631387821625008,0.2446280188085577,0.2245831545395446,d782df7b3602fedc2068c5513e9e3698,
52.jpg,52,"{""choices"": [""right"", ""labeled""]}",0,0,0,1,0,0,0,0,0,0,0,0,1,1,Астрахань,588,1280,0.40981269591169817,0.4550176841569961,0.5000633378351341,0.2420869642188371,0.2173045647395853,0.20139847449306705,5a5ff6916cf7d19b4c5dcd00b8ea532e,"[{""x"": 28.277177640603565, ""y"": 24.543094322180472, ""width"": 4.233110425240056, ""height"": 5.474853879644541, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}]"
53.jpg,53,"{""choices"": [""b_right"", ""labeled"", ""damaged""]}",0,0,0,0,0,0,0,1,0,0,0,0,1,1,Астрахань,588,1280,0.3834826899509804,0.4102065774226356,0.489458444836268,0.22118095359741047,0.2100166473589453,0.2314374860989597,6299b41965eee359e7df3d8bfd876f0b,"[{""x"": 8.933333333333334, ""y"": 17.681159420289855, ""width"": 14.4, ""height"": 12.753623188405797, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}, {""x"": 42.93333333333333, ""y"": 34.492753623188406, ""width"": 2.3999999999999995, ""height"": 3.188405797101446, ""rotation"": 0, ""rectanglelabels"": [""damage""], ""original_width"": 1280, ""original_height"": 588}]"
54.jpg,54,"{""choices"": [""b_left"", ""labeled""]}",0,0,0,0,0,0,1,0,0,0,0,0,1,0,Астрахань,588,1280,0.44338721947112186,0.4492845940459516,0.5013438448295987,0.2380680919437787,0.2281111583271757,0.2324606332505738,715adb7f79af07c1b83695f8ba1298a5,
55.jpg,55,"{""choices"": [""interior"", ""dirty""]}",0,0,0,0,0,0,0,0,1,0,0,1,0,0,Астрахань,588,1280,0.41380227090836297,0.42658657212885137,0.4230286124866613,0.2586557185728285,0.2637181335123861,0.27900581627587306,6bd97f8891bcae4ddef7479888d1e03b,"[{""x"": 60.13333333333333, ""y"": 77.10144927536231, ""width"": 22.266666666666666, ""height"": 22.89855072463768, ""rotation"": 0, ""rectanglelabels"": [""dirt""], ""original_width"": 1280, ""original_height"": 588}]"
56.jpg,56,front,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,774,1032,0.4309476544859478,0.4315819204712511,0.4535565407983195,0.1979464751804212,0.19696200577697767,0.19177017015573908,1248dc1ff0077de5dba9ecc87820caa1,
57.jpg,57,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,774,1032,0.5305444305799559,0.5238799319579607,0.5312652465188548,0.1990927421955088,0.19914445682047466,0.1985102448058968,eaccf39e0b673a06494ad90d11961df4,"[{""x"": 42.4, ""y"": 25.932504440497336, ""width"": 19.2, ""height"": 15.452930728241563, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1032, ""original_height"": 774}]"
58.jpg,58,trunk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Астрахань,774,1032,0.6821780738415593,0.6769578876960716,0.6823301315398262,0.2821654461376986,0.30377835855429,0.31055237466987945,c1ac56331bf0b0e34ed8eedd32707444,
59.jpg,59,back,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,774,1032,0.6245789839882833,0.6208972405740132,0.6311408687025079,0.2106223846010524,0.22309465720312546,0.22600484878437765,0c1280dd5745a366adfe6ae6ce17866c,
60.jpg,60,"{""choices"": [""f_right"", ""labeled""]}",0,0,0,0,0,1,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.3949765481979503,0.4003128347066247,0.4183203260472109,0.19093720603906267,0.19277452829822184,0.1915585110346376,6dd529928d1ac75f2dcb4f4c2f7ce0c1,
61.jpg,61,"{""choices"": [""f_left"", ""labeled""]}",0,0,0,0,1,0,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.4229483502633272,0.43764336293578376,0.4615009074759442,0.26951570836195743,0.26692114855182225,0.2597815783770784,a38e7aefa15841707669055b9d67685a,
62.jpg,62,"{""choices"": [""left"", ""labeled""]}",0,0,1,0,0,0,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.3986465824035683,0.4205121082545552,0.4651856751554256,0.2508164221647249,0.24936194590827285,0.24031619510329005,29290d6410a794587f8798ee732c0ded,
63.jpg,63,"{""choices"": [""right"", ""labeled""]}",0,0,0,1,0,0,0,0,0,0,0,0,1,0,Астрахань,774,1032,0.3888797080837824,0.406496499707589,0.44080600300934,0.3130132688644284,0.3083242438801733,0.2944316482789072,0340834c54105d4916d1a4f74fdefe2a,
64.jpg,64,"{""choices"": [""b_right"", ""labeled""]}",0,0,0,0,0,0,0,1,0,0,0,0,1,0,Астрахань,774,1032,0.5538386320816409,0.5537508989333769,0.5908641415623195,0.2121803387212234,0.22256963343470312,0.21940810761604693,0c6f4f95f34b5e3355f590024a6bbe5a,
65.jpg,65,"{""choices"": [""b_left"", ""labeled""]}",0,0,0,0,0,0,1,0,0,0,0,0,1,0,Астрахань,774,1032,0.5327471806582137,0.5307767393158013,0.5598433302972853,0.20007583627272799,0.21032043383464769,0.21664924848771888,92100f75ab943adaf09658f63b087603,
66.jpg,66,"{""choices"": [""interior"", ""dirty""]}",0,0,0,0,0,0,0,0,1,0,0,1,0,0,Астрахань,774,1032,0.5658282971462327,0.5621014155917762,0.5608617957929724,0.259426325376399,0.26077629483640474,0.2588688312616685,bff44b5e649d1c494ca64af0babbd76d,"[{""x"": 55.333333333333336, ""y"": 63.765541740674955, ""width"": 37.733333333333334, ""height"": 36.23445825932504, ""rotation"": 0, ""rectanglelabels"": [""dirt""], ""original_width"": 1032, ""original_height"": 774}]"
67.jpg,67,"{""choices"": [""front"", """"]}",1,0,0,0,0,0,0,0,0,0,0,0,0,0,Астрахань,588,1280,0.4252010126967449,0.44226346788715504,0.44703860189909295,0.23704305210354035,0.22759810723991505,0.22347957336379887,f65d9e1ac27a6b4cd3f3f79b8d946b19,
68.jpg,68,panel,0,0,0,0,0,0,0,0,0,0,1,0,0,0,Астрахань,588,1280,0.4260503159597174,0.4541082787281578,0.4606529174169666,0.19256263833588355,0.17880365596391062,0.1660041495568961,bef4f85a88f50a2fa9d3a0bbd39a116f,"[{""x"": 47.6, ""y"": 25.797101449275363, ""width"": 16.4, ""height"": 21.73913043478261, ""rotation"": 0, ""rectanglelabels"": [""panel""], ""original_width"": 1280, ""original_height"": 588}]"
69.jpg,69,trunk,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Астрахань,588,1280,0.4852949408930238,0.5239478030795651,0.5511693635787649,0.26770604535629144,0.2782949008324249,0.2927015105044117,b070432def2dde7bf5267207fc8d4884,
70.jpg,70,"{""choices"": [""back"", ""dirty"", ""labeled""]}",0,1,0,0,0,0,0,0,0,0,0,1,1,0,Астрахань,1280,588,0.549762399751567,0.5680622301003735,0.5932851057089502,0.2458836918163727,0.24457192014340545,0.24635730744745896,77b1121219cd0b38a593271ac2cc01f2,
